日期,确诊,死亡,治愈,input,重症,疑似
2020-01-20,260,6,25,0,0,54
2020-01-21,406,9,25,0,102,37
2020-01-22,526,17,28,0,95,393
2020-01-23,771,25,34,0,177,1072
2020-01-24,1208,41,38,0,237,1965
2020-01-25,1870,56,49,0,324,2684
2020-01-26,2613,80,51,0,461,5794
2020-01-27,4349,106,60,0,976,6973
2020-01-28,5739,132,103,0,1239,9239
2020-01-29,7417,170,124,0,1370,12167
2020-01-30,9308,213,171,0,1527,15238
2020-01-31,11289,259,243,0,1795,17988
2020-02-01,13748,304,328,0,2110,19544
2020-02-02,16369,361,475,0,2296,21558
2020-02-03,19381,425,632,0,2788,23214
2020-02-04,22942,490,892,0,3219,23260
2020-02-05,26302,563,1153,0,3859,24702
2020-02-06,28985,636,1540,0,4821,26359
2020-02-07,31774,722,2050,0,6101,27657
2020-02-08,33738,811,2649,0,6188,28942
2020-02-09,35982,908,3281,0,6484,23589
2020-02-10,37626,1016,3996,0,7333,21675
2020-02-11,38800,1113,4740,0,8204,16067
2020-02-12,51860,1259,5642,0,8030,13435
2020-02-13,55748,1380,6723,0,10204,10109
2020-02-14,56873,1523,8096,0,11053,8969
2020-02-15,57416,1665,9419,0,11272,8228
2020-02-16,57934,1770,10844,0,10644,7264
2020-02-17,58016,1868,12552,0,11741,6242
2020-02-18,57805,2004,14376,0,11977,5248
2020-02-19,56727,2118,16157,0,11864,4922
2020-02-20,55389,2236,18266,0,11633,5206
2020-02-21,53284,2345,20659,0,11477,5365
2020-02-22,51411,2442,22888,0,10968,4148
2020-02-23,49824,2592,24734,0,9915,3434
2020-02-24,47672,2663,27323,0,9126,2824
2020-02-25,45604,2715,29745,0,8752,2491
2020-02-26,43258,2744,32495,0,8346,2358
2020-02-27,39919,2788,36117,0,7952,2308
2020-02-28,37414,2835,39002,0,7664,1418
2020-02-29,35329,2870,41625,0,7365,851
2020-03-01,32652,2912,44462,0,7110,715
2020-03-02,30004,2943,47204,0,6806,587
2020-03-03,27433,2981,49856,0,6416,520
2020-03-04,25352,3012,52045,20,5952,522
2020-03-05,23784,3042,53726,36,5737,482
2020-03-06,22177,3070,55404,60,5489,502
2020-03-07,20533,3097,57065,63,5264,458
2020-03-08,19016,3119,58600,67,5111,421
2020-03-09,17721,3136,59897,69,4794,349
2020-03-10,16145,3158,61475,79,4492,285
2020-03-11,14831,3169,62793,85,4257,253
2020-03-12,13526,3176,64111,88,4020,147
2020-03-13,12094,3189,65541,95,3610,115
2020-03-14,10734,3199,66911,111,3226,113
2020-03-15,9898,3213,67749,123,3032,134
2020-03-16,8976,3226,68679,143,2830,128
2020-03-17,8056,3237,69601,155,2622,119
2020-03-18,7263,3245,70420,189,2314,105
2020-03-19,6569,3248,71150,228,2136,104
2020-03-20,6013,3255,71740,269,1963,106
2020-03-21,5549,3261,72244,314,1845,118
2020-03-22,5120,3270,72703,353,1749,136
2020-03-23,4735,3277,73159,427,1573,132
2020-03-24,4287,3281,73650,474,1399,134
2020-03-25,3947,3287,74051,541,1235,159
2020-03-26,3460,3292,74588,595,1034,189
2020-03-27,3128,3295,74971,649,921,184
2020-03-28,2691,3300,75448,693,742,174
2020-03-29,2396,3304,75770,723,633,168
2020-03-30,2161,3305,76052,771,528,183
2020-03-31,2004,3312,76238,806,466,172
2020-04-01,1863,3318,76408,841,429,153
2020-04-02,1727,3322,76571,870,379,135
2020-04-03,1562,3326,76751,888,331,114
2020-04-04,1375,3330,76964,913,295,107
2020-04-05,1299,3331,77078,951,265,88
2020-04-06,1242,3331,77167,983,211,89
2020-04-07,1190,3333,77279,1042,189,83
2020-04-08,1160,3335,77370,1103,176,73
2020-04-09,1116,3336,77455,1141,144,53
2020-04-10,1089,3339,77525,1183,141,44
2020-04-11,1138,3339,77575,1280,139,82
2020-04-12,1156,3341,77663,1378,121,72
2020-04-13,1170,3341,77738,1464,116,72
2020-04-14,1137,3342,77816,1500,113,73
2020-04-15,1107,3342,77892,1534,95,63
2020-04-16,1081,4632,76979,1549,89,62
2020-04-17,1058,4632,77029,1566,85,63
2020-04-18,1041,4632,77062,1575,85,48
2020-04-19,1031,4632,77084,1583,81,43
2020-04-20,1003,4632,77123,1587,82,37
2020-04-21,1005,4632,77151,1610,78,35
2020-04-22,959,4632,77207,1616,63,20
2020-04-23,915,4632,77257,1618,57,20
2020-04-24,838,4632,77346,1629,49,17
2020-04-25,801,4632,77394,1634,51,15
2020-04-26,723,4633,77474,1636,52,10
2020-04-27,648,4633,77555,1639,50,9
2020-04-28,647,4633,77578,1660,22,10
2020-04-29,619,4633,77610,1664,41,10
2020-04-30,599,4633,77642,1670,38,9
2020-05-01,557,4633,77685,1671,37,11
